Day10 过拟合与正则化实验汇总
================================================
数据设置：训练集 40 个点，其中 15% 标签被故意翻转；测试集 400 个点，不加标签噪声。
观察重点：不要只看 train_acc，要看 test_acc 以及 train_acc - test_acc 的 gap。

model | train_loss | test_loss | train_acc | test_acc | gap
baseline | 0.01141 | 1.65734 | 1.000 | 0.695 | 0.305
weight_decay | 0.16279 | 1.30367 | 0.925 | 0.650 | 0.275
dropout | 0.15923 | 0.56535 | 0.975 | 0.748 | 0.228

训练集 accuracy 最高：baseline (1.000)
测试集 accuracy 最高：dropout (0.748)
train/test gap 最小：dropout (0.228)

结论：baseline 最容易记住小训练集；weight decay 和 dropout 会牺牲一点训练集表现，换取更稳的泛化表现。

baseline 训练日志
========================================
weight_decay: 0.0
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
  100 |    0.01141 |     1.000 |    0.695 | 0.305

weight_decay 训练日志
========================================
weight_decay: 0.003
dropout_p: 0.0
epoch | train_loss | train_acc | test_acc | gap
    1 |    0.52785 |     0.675 |    0.620 | 0.055
    2 |    0.42539 |     0.825 |    0.865 | -0.040
    3 |    0.43427 |     0.775 |    0.885 | -0.110
    4 |    0.40761 |     0.825 |    0.850 | -0.025
    5 |    0.36477 |     0.850 |    0.855 | -0.005
    6 |    0.34661 |     0.800 |    0.845 | -0.045
    7 |    0.33035 |     0.825 |    0.830 | -0.005
    8 |    0.32162 |     0.875 |    0.827 | 0.048
    9 |    0.31308 |     0.875 |    0.827 | 0.048
   10 |    0.30136 |     0.875 |    0.817 | 0.058
   11 |    0.30713 |     0.875 |    0.760 | 0.115
   12 |    0.28278 |     0.900 |    0.805 | 0.095
   13 |    0.28666 |     0.875 |    0.815 | 0.060
   14 |    0.28566 |     0.850 |    0.798 | 0.053
   15 |    0.26884 |     0.875 |    0.805 | 0.070
   16 |    0.25673 |     0.925 |    0.837 | 0.088
   17 |    0.25256 |     0.925 |    0.837 | 0.088
   18 |    0.24588 |     0.900 |    0.800 | 0.100
   19 |    0.24074 |     0.900 |    0.780 | 0.120
   20 |    0.23658 |     0.925 |    0.795 | 0.130
   21 |    0.24930 |     0.900 |    0.848 | 0.052
   22 |    0.23297 |     0.900 |    0.830 | 0.070
